hq_id,inv_id,inv_name
1525388,1525388,supplier4
1823218,1823218,supplier4
2017655,2017655,supplier4
310281,310281,supplier1
123313,123313,supplier1
269367,269367,supplier1
196876,196876,supplier1
105457,105457,supplier1
117088,117088,supplier1
124624,124624,supplier1
152104,152104,supplier1
10342,10342,supplier3
12557,12557,supplier3
14235,14235,supplier3
42493,42493,supplier3
126537,126537,supplier3
223676,223676,supplier4
1122318,1122318,supplier4
1148748,1148748,supplier4
1396628,1396628,supplier4
1456558,1456558,supplier4
211039,211039,supplier1
144080,144080,supplier1
208928,208928,supplier1
115110,115110,supplier1
180688,180688,supplier1
209121,209121,supplier1
210042,210042,supplier1
202907,202907,supplier1
224970,224970,supplier1
312517,312517,supplier1
109003,109003,supplier1
132553,132553,supplier1
268832,268832,supplier1
273540,273540,supplier1
2928,2928,supplier3
27714,27714,supplier3
28043,28043,supplier3
1028078,1028078,supplier4
1101098,1101098,supplier4
1201578,1201578,supplier4
1621008,1621008,supplier4
1806168,1806168,supplier4
250421,250421,supplier1
578507,578507,supplier1
145196,145196,supplier1
209088,209088,supplier1
209755,209755,supplier1
210911,210911,supplier1
169050,169050,supplier1
185428,185428,supplier1
195037,195037,supplier1
311863,311863,supplier1
117324,117324,supplier1
122386,122386,supplier1
441286,441286,supplier1
1925,1925,supplier3
18446,18446,supplier3
34462,34462,supplier3
192826,192826,supplier4
222496,222496,supplier4
237126,237126,supplier4
243126,243126,supplier4
289595,289595,supplier4
299755,299755,supplier4
418095,418095,supplier4
1105878,1105878,supplier4
1170858,1170858,supplier4
1853338,1853338,supplier4
1913835,1913835,supplier4
206493,206493,supplier1
254009,254009,supplier1
343642,343642,supplier1
144086,144086,supplier1
162582,162582,supplier1
251215,251215,supplier1
111247,111247,supplier1
191434,191434,supplier1
106813,106813,supplier1
121651,121651,supplier1
220283,220283,supplier1
243293,243293,supplier1
10578,10578,supplier3
11568,11568,supplier3
12317,12317,supplier3
36178,36178,supplier3
216526,216526,supplier4
223256,223256,supplier4
284517,284517,supplier3
1221778,1221778,supplier4
1894615,1894615,supplier4
2018555,2018555,supplier4
247227,247227,supplier1
542576,542576,supplier1
252120,252120,supplier1
494095,494095,supplier1
150375,150375,supplier1
206616,206616,supplier1
257347,257347,supplier1
430148,430148,supplier1
129195,129195,supplier1
130465,130465,supplier1
211407,211407,supplier1
10373,10373,supplier3
15483,15483,supplier3
101288,101288,supplier3
225216,225216,supplier4
231246,231246,supplier4
281656,281656,supplier3
292003,292003,supplier3
1098988,1098988,supplier4
1589758,1589758,supplier4
114905,114905,supplier1
153095,153095,supplier1
209395,209395,supplier1
264945,264945,supplier1
273271,273271,supplier1
273839,273839,supplier1
404669,404669,supplier1
133258,133258,supplier1
245926,245926,supplier1
275802,275802,supplier1
120162,120162,supplier1
14095,14095,supplier3
15853,15853,supplier3
3930,3930,supplier3
21819,21819,supplier3
27664,27664,supplier3
20214,20214,supplier4
292635,292635,supplier4
497785,497785,supplier4
1445858,1445858,supplier4
1893995,1893995,supplier4
1921565,1921565,supplier4
233572,233572,supplier1
388499,388499,supplier1
439881,439881,supplier1
209499,209499,supplier1
210447,210447,supplier1
115394,115394,supplier1
129105,129105,supplier1
153033,153033,supplier1
225820,225820,supplier1
122507,122507,supplier1
125990,125990,supplier1
169314,169314,supplier1
12000,12000,supplier3
19218,19218,supplier3
206583,206583,supplier3
214896,214896,supplier4
220756,220756,supplier4
247710,247710,supplier3
276815,276815,supplier4
1114468,1114468,supplier4
1451818,1451818,supplier4
1495298,1495298,supplier4
2003615,2003615,supplier4
479469,479469,supplier1
208887,208887,supplier1
366544,366544,supplier1
378107,378107,supplier1
121267,121267,supplier1
128489,128489,supplier1
130270,130270,supplier1
134906,134906,supplier1
137957,137957,supplier1
381223,381223,supplier1
128751,128751,supplier1
160988,160988,supplier1
201328,201328,supplier1
216184,216184,supplier1
232022,232022,supplier1
15255,15255,supplier3
29134,29134,supplier3
10984,10984,supplier4
194636,194636,supplier4
198726,198726,supplier4
219416,219416,supplier4
440665,440665,supplier4
1202408,1202408,supplier4
1455208,1455208,supplier4
1466708,1466708,supplier4
1762068,1762068,supplier4
2034965,2034965,supplier4
141913,141913,supplier1
254081,254081,supplier1
419894,419894,supplier1
226450,226450,supplier1
264597,264597,supplier1
282751,282751,supplier1
138892,138892,supplier1
150591,150591,supplier1
432222,432222,supplier1
550099,550099,supplier1
584276,584276,supplier1
143368,143368,supplier1
264872,264872,supplier1
16450,16450,supplier3
18256,18256,supplier3
31730,31730,supplier3
45601,45601,supplier3
218036,218036,supplier4
236476,236476,supplier4
280355,280355,supplier4
1177668,1177668,supplier4
1682988,1682988,supplier4
2007005,2007005,supplier4
113873,113873,supplier1
193140,193140,supplier1
398411,398411,supplier1
175975,175975,supplier1
210679,210679,supplier1
241568,241568,supplier1
393326,393326,supplier1
172469,172469,supplier1
329166,329166,supplier1
189810,189810,supplier1
195876,195876,supplier1
600376,600376,supplier1
125660,125660,supplier1
212320,212320,supplier1
339061,339061,supplier1
168514,168514,supplier1
16375,16375,supplier3
25518,25518,supplier3
33890,33890,supplier3
38155,38155,supplier3
41785,41785,supplier3
43067,43067,supplier3
119722,119722,supplier4
226066,226066,supplier4
227188,227188,supplier3
257581,257581,supplier3
309325,309325,supplier4
1008025,1008025,supplier4
1227808,1227808,supplier4
1608208,1608208,supplier4
1791928,1791928,supplier4
1932065,1932065,supplier4
190814,190814,supplier1
195116,195116,supplier1
200519,200519,supplier1
245152,245152,supplier1
257478,257478,supplier1
208981,208981,supplier1
490011,490011,supplier1
495507,495507,supplier1
137767,137767,supplier1
137783,137783,supplier1
236634,236634,supplier1
313968,313968,supplier1
390824,390824,supplier1
419223,419223,supplier1
111710,111710,supplier1
122123,122123,supplier1
130796,130796,supplier1
136262,136262,supplier1
130872,130872,supplier1
23968,23968,supplier3
26026,26026,supplier3
1013945,1013945,supplier4
200387,200387,supplier1
231587,231587,supplier1
268566,268566,supplier1
314636,314636,supplier1
338710,338710,supplier1
119161,119161,supplier1
135361,135361,supplier1
233701,233701,supplier1
123995,123995,supplier1
11854,11854,supplier3
2500,2500,supplier3
3084,3084,supplier3
19377,19377,supplier3
297408,297408,supplier3
1061918,1061918,supplier4
1256438,1256438,supplier4
1458728,1458728,supplier4
1715238,1715238,supplier4
2030305,2030305,supplier4
188276,188276,supplier1
